StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
MT,2014,42150,229,43,5.432977461447212,1.0201660735468565,8497
MT,2015,41503,250,47,6.0236609401729995,1.1324482567525238,4429
NC,2004,398952,1504,NA,3.769877077944214,NA,67582
NC,2005,438050,1612,NA,3.6799452117338203,NA,66145
NC,2006,426469,1431,NA,3.3554607720608063,NA,68051
NC,2007,427221,2546,NA,5.959444877475592,NA,68244
NC,2008,440281,1642,NA,3.7294364280993273,NA,68589
NC,2009,503713,1598,NA,3.1724414497938307,NA,66940
NC,2010,554191,1584,NA,2.8582203608503205,NA,67394
NC,2011,573679,1616,NA,2.8169063186904175,NA,70093
NC,2012,581594,1662,NA,2.857663593503372,NA,69007
NC,2013,563572,1641,NA,2.91178411986401,NA,68406
NC,2014,544149,1624,NA,2.984476678262755,NA,67775
NC,2015,528760,1663,NA,3.1450941826159315,NA,42409
ND,2010,23330,97,47,4.15773681954565,2.0145735105015006,4016
ND,2011,22034,119,47,5.400744304257057,2.1330670781519467,3790
ND,2012,20684,116,43,5.608199574550377,2.0789015664281574,3837
ND,2013,19962,136,52,6.812944594729987,2.604949403867348,3765
ND,2014,22572,132,64,5.847953216374268,2.8353712564238878,3685
ND,2015,20716,139,63,6.7097895346592,3.04112763081676,2297
NE,2004,55000,283,70,5.1454545454545455,1.2727272727272727,13138
NE,2005,62489,326,78,5.216918177599258,1.2482196866648532,13910
NE,2006,62877,308,82,4.898452534313024,1.3041334669274933,12145
NE,2007,64102,304,89,4.742441733487254,1.3884122180275187,12240
NE,2008,59793,347,104,5.803354907765123,1.739334035756694,12929
NE,2009,67346,323,87,4.796127461170671,1.2918361892317285,13711
NE,2010,77895,319,84,4.095256434944477,1.078374735220489,13243
NE,2011,79312,271,78,3.4168852128303406,0.9834577365341942,13719
NE,2012,78806,239,88,3.032764002740908,1.116666243687029,10885
NE,2013,77850,233,79,2.9929351316634554,1.0147719974309568,11098
NE,2014,73270,248,76,3.3847413675446973,1.0372594513443427,11426
NE,2015,73349,243,87,3.3129286016169273,1.1861102400850727,7183
NH,2004,26642,117,40,4.391562195030403,1.5013887846257787,6507
NH,2005,28179,126,42,4.471414883423826,1.4904716278079422,6741
NH,2006,28002,122,48,4.356831654881794,1.7141632740518533,6893
NH,2007,26813,119,49,4.438145675605117,1.8274717487785777,7516
NH,2008,27280,141,56,5.168621700879766,2.0527859237536656,7819
NH,2009,31278,132,49,4.220218684059083,1.5665963296885992,7842
NH,2010,30481,127,52,4.16652996948919,1.7059807749089597,8522
NH,2011,33632,143,59,4.251902949571837,1.7542816365366316,8970
NH,2012,36837,133,58,3.6105003121861174,1.5745038955398105,9149
NH,2013,29059,128,58,4.404831549605974,1.9959392959152067,9176
NH,2014,33155,116,55,3.498718142060021,1.6588749811491479,9231
NH,2015,28590,105,49,3.6726128016789086,1.7138859741168242,3726
NJ,2004,220389,2023,501,9.179224008457773,2.2732532022923104,41670
NJ,2005,249393,2419,690,9.699550508634966,2.7667175903092707,30273
NJ,2006,240770,2064,675,8.572496573493375,2.8035054201104788,35984
NJ,2007,233126,430,155,1.844496109400067,0.6648765045511869,51844
NJ,2008,248667,1429,358,5.746641090293445,1.439676354321241,51722
NJ,2009,269659,1571,402,5.825876384619093,1.490771678304822,57096
NJ,2010,292455,1667,423,5.700022225641551,1.4463763655947068,59966
NJ,2011,295301,1720,448,5.824565443395044,1.517096115488942,59014
NJ,2012,308293,1971,507,6.393268741100187,1.6445394478629096,59163
NJ,2013,329140,1872,506,5.6875493710882905,1.5373397338518564,60064
NJ,2014,314073,1916,555,6.100492560646728,1.7671050997697988,57162
NJ,2015,306606,1816,531,5.9229108367090015,1.7318643470773567,35139
NM,2004,116631,279,109,2.392159888880315,0.9345714261217001,18521
NM,2005,124352,296,112,2.3803396809058155,0.9006690684508493,17317
NM,2006,127618,276,104,2.1627043207071104,0.814932062875143,15395
NM,2007,123571,249,98,2.0150358902978853,0.7930663343341076,15221
NM,2008,118793,258,84,2.171845142390545,0.7071123719411077,13759
NM,2009,129552,249,87,1.922008151167099,0.6715450166728417,15831
NM,2010,145779,250,87,1.7149246462110455,0.5967937768814439,17699
NM,2011,150984,255,83,1.6889206803369894,0.5497271234038044,17263
NM,2012,146710,275,88,1.8744461863540316,0.5998227796332902,17240
NM,2013,151127,280,104,1.8527463656394951,0.6881629358089554,19026
NM,2014,138918,281,131,2.02277602614492,0.94300234670813,20777
NM,2015,133471,281,133,2.1053262506462076,0.9964711435442904,11664
NV,2004,94470,270,79,2.8580501746586218,0.8362443103630782,13905
NV,2005,92648,300,90,3.2380623434936537,0.971418703048096,14563
NV,2006,89054,280,79,3.1441597233139444,0.8871022076492914,15560
NV,2007,96510,320,90,3.3157185783856598,0.9325458501709667,16055
NV,2008,98504,316,96,3.2079915536424917,0.9745797124989848,13283
NV,2009,117742,318,103,2.7008204379066094,0.8747940412087446,12096
NV,2010,139981,327,108,2.336031318536087,0.7715332795165057,13083
NV,2011,145150,275,77,1.8945918015845677,0.5304857044436789,13022
NV,2012,152664,274,83,1.7947911753917098,0.5436776188230362,13132
NV,2013,147638,257,75,1.740744252834636,0.5079992955743101,13703
NV,2014,144947,275,93,1.897245199969644,0.6416138312624615,14882
NV,2015,142071,287,91,2.0201167022122744,0.640524808018526,9886
OK,2004,171495,579,152,3.376191725706289,0.8863232164203039,36079
OK,2005,192561,627,172,3.2561110505242494,0.8932234460768276,36906
OK,2006,205832,685,162,3.327956780286836,0.7870496327101715,36053
OK,2007,196160,671,170,3.4206769983686787,0.8666394779771616,36182
OK,2008,195823,705,169,3.6001899674706244,0.863024261705724,33184
OK,2009,199277,671,162,3.3671723279655956,0.8129387736668054,28816
OK,2010,223349,658,172,2.946061992666186,0.7700952321255077,29588
OK,2011,219853,719,176,3.270367017962002,0.8005349028669156,30470
OK,2012,221664,800,209,3.609065973726,0.9428684856359175,34329
OK,2013,221024,947,283,4.284602577095701,1.2804039380338788,35608
OK,2014,209022,1069,288,5.114294189128417,1.3778453942647184,37282
OK,2015,207539,962,282,4.635273370306304,1.358780759278979,21594
OR,2012,191922,519,127,2.7042235908337764,0.6617271599920801,27691
OR,2013,181281,583,134,3.2160016769545625,0.7391839188883557,25606
OR,2014,179110,631,148,3.5229747082798277,0.8263078555077885,28415
OR,2015,167322,615,132,3.675547746261699,0.7888980528561695,13693
RI,2004,42764,61,15,1.4264334486951642,0.35076232344963054,6905
RI,2005,42395,63,15,1.486024295317844,0.35381530840901054,7443
RI,2006,37496,72,16,1.9202048218476637,0.4267121826328142,8315
RI,2007,38799,58,15,1.4948838887600195,0.3866079022655223,7219
RI,2008,37117,56,14,1.5087426246733302,0.37718565616833255,6101
RI,2009,39988,51,15,1.2753826147844354,0.37511253376012804,6290
RI,2010,44041,51,13,1.158011852591903,0.29517949183715175,6914
RI,2011,46569,52,14,1.1166226459662008,0.3006291739139771,6476
